r2,N_ipsat
5.35709,0.548898
5.36636,0.549383
5.37563,0.549869
5.38491,0.550354
5.3942,0.550839
5.40349,0.551323
5.4128,0.551808
5.42211,0.552293
5.43143,0.552777
5.44076,0.553261
5.45009,0.553745
5.45944,0.554228
5.46879,0.554712
5.47815,0.555195
5.48752,0.555678
5.49689,0.556161
5.50628,0.556644
5.51567,0.557127
5.52507,0.557609
5.53448,0.558091
5.54389,0.558573
5.55332,0.559055
5.56275,0.559536
5.57219,0.560018
5.58164,0.560499
5.59109,0.56098
5.60056,0.561461
5.61003,0.561942
5.61951,0.562422
5.629,0.562902
5.63849,0.563382
5.648,0.563862
5.65751,0.564342
5.66703,0.564821
5.67656,0.565301
5.68609,0.56578
5.69564,0.566258
5.70519,0.566737
5.71475,0.567216
5.72432,0.567694
5.73389,0.568172
5.74348,0.56865
5.75307,0.569128
5.76267,0.569605
5.77228,0.570082
5.78189,0.570559
5.79152,0.571036
5.80115,0.571513
5.81079,0.57199
5.82044,0.572466
5.83009,0.572942
5.83976,0.573418
5.84943,0.573893
5.85911,0.574369
5.8688,0.574844
5.87849,0.575319
5.8882,0.575794
5.89791,0.576269
5.90763,0.576743
5.91736,0.577217
5.92709,0.577691
5.93684,0.578165
5.94659,0.578639
5.95635,0.579112
5.96612,0.579585
5.9759,0.580058
5.98568,0.580531
5.99547,0.581004
6.00527,0.581476
6.01508,0.581948
6.0249,0.58242
6.03472,0.582892
6.04455,0.583363
6.05439,0.583835
6.06424,0.584306
6.0741,0.584777
6.08396,0.585247
6.09383,0.585718
6.10371,0.586188
6.1136,0.586658
6.1235,0.587128
6.1334,0.587598
6.14331,0.588067
6.15323,0.588536
6.16316,0.589005
6.1731,0.589474
6.18304,0.589942
6.19299,0.590411
6.20295,0.590879
6.21292,0.591347
6.2229,0.591814
6.23288,0.592282
6.24288,0.592749
6.25288,0.593216
6.26288,0.593683
6.2729,0.594149
6.28292,0.594616
6.29296,0.595082
6.303,0.595548
6.31305,0.596013
6.3231,0.596479
6.33317,0.596944
6.34324,0.597409
6.35332,0.597874
6.36341,0.598338
6.3735,0.598803
6.38361,0.599267
6.39372,0.59973
6.40384,0.600194
6.41397,0.600658
6.4241,0.601121
6.43425,0.601584
6.4444,0.602046
6.45456,0.602509
6.46473,0.602971
6.4749,0.603433
6.48509,0.603895
6.49528,0.604357
6.50548,0.604818
6.51569,0.605279
6.52591,0.60574
6.53613,0.606201
6.54636,0.606661
6.5566,0.607122
6.56685,0.607582
6.57711,0.608041
6.58737,0.608501
6.59764,0.60896
6.60792,0.609419
6.61821,0.609878
6.62851,0.610337
6.63881,0.610795
6.64913,0.611253
6.65945,0.611711
6.66977,0.612169
6.68011,0.612626
6.69046,0.613083
6.70081,0.61354
6.71117,0.613997
6.72154,0.614454
6.73191,0.61491
6.7423,0.615366
6.75269,0.615822
6.76309,0.616277
6.7735,0.616733
6.78391,0.617188
6.79434,0.617642
6.80477,0.618097
6.81521,0.618551
6.82566,0.619005
6.83612,0.619459
6.84658,0.619913
6.85705,0.620366
6.86753,0.620819
6.87802,0.621272
6.88852,0.621725
6.89902,0.622177
6.90953,0.62263
6.92006,0.623081
6.93058,0.623533
6.94112,0.623985
6.95166,0.624436
6.96222,0.624887
6.97278,0.625337
6.98335,0.625788
6.99392,0.626238
7.00451,0.626688
7.0151,0.627138
7.0257,0.627587
7.03631,0.628036
7.04692,0.628485
7.05755,0.628934
7.06818,0.629383
7.07882,0.629831
7.08947,0.630279
7.10013,0.630727
7.11079,0.631174
7.12146,0.631621
7.13214,0.632068
7.14283,0.632515
7.15353,0.632961
7.16423,0.633408
7.17495,0.633854
7.18567,0.634299
7.19639,0.634745
7.20713,0.63519
7.21788,0.635635
7.22863,0.63608
7.23939,0.636524
7.25016,0.636968
7.26093,0.637412
7.27172,0.637856
7.28251,0.6383
7.29331,0.638743
