r²,N_GBW
6.43438,0.722031
6.44453,0.722592
6.45469,0.723152
6.46486,0.723711
6.47503,0.724269
6.48522,0.724827
6.49541,0.725384
6.50561,0.72594
6.51582,0.726496
6.52604,0.727051
6.53626,0.727605
6.54649,0.728158
6.55673,0.728711
6.56698,0.729263
6.57724,0.729815
6.5875,0.730366
6.59778,0.730916
6.60806,0.731465
6.61835,0.732014
6.62864,0.732562
6.63895,0.733109
6.64926,0.733656
6.65958,0.734201
6.66991,0.734747
6.68024,0.735291
6.69059,0.735835
6.70094,0.736378
6.7113,0.73692
6.72167,0.737462
6.73205,0.738003
6.74243,0.738543
6.75282,0.739083
6.76322,0.739622
6.77363,0.74016
6.78405,0.740697
6.79447,0.741234
6.80491,0.74177
6.81535,0.742305
6.8258,0.74284
6.83625,0.743374
6.84672,0.743907
6.85719,0.74444
6.86767,0.744972
6.87816,0.745503
6.88866,0.746033
6.89916,0.746563
6.90967,0.747092
6.92019,0.74762
6.93072,0.748148
6.94126,0.748675
6.9518,0.749201
6.96236,0.749727
6.97292,0.750251
6.98349,0.750775
6.99406,0.751299
7.00465,0.751821
7.01524,0.752343
7.02584,0.752865
7.03645,0.753385
7.04707,0.753905
7.05769,0.754424
7.06832,0.754943
7.07896,0.75546
7.08961,0.755977
7.10027,0.756494
7.11093,0.757009
7.12161,0.757524
7.13229,0.758038
7.14298,0.758552
7.15367,0.759065
7.16438,0.759577
7.17509,0.760088
7.18581,0.760599
7.19654,0.761109
7.20728,0.761618
7.21802,0.762126
