r,sigma_dipolo
0.000135924,2.03452e-07
0.000136237,2.04457e-07
0.000136551,2.05467e-07
0.000136866,2.06483e-07
0.000137181,2.07503e-07
0.000137498,2.08528e-07
0.000137815,2.09559e-07
0.000138133,2.10594e-07
0.000138451,2.11635e-07
0.00013877,2.12681e-07
0.00013909,2.13732e-07
0.000139411,2.14788e-07
0.000139732,2.1585e-07
0.000140055,2.16916e-07
0.000140378,2.17988e-07
0.000140701,2.19066e-07
0.000141026,2.20148e-07
0.000141351,2.21236e-07
0.000141677,2.2233e-07
0.000142003,2.23428e-07
0.000142331,2.24533e-07
0.000142659,2.25642e-07
0.000142988,2.26757e-07
0.000143318,2.27878e-07
0.000143648,2.29004e-07
0.000143979,2.30136e-07
0.000144311,2.31274e-07
0.000144644,2.32417e-07
0.000144977,2.33566e-07
0.000145312,2.3472e-07
0.000145647,2.3588e-07
0.000145983,2.37046e-07
0.000146319,2.38218e-07
0.000146657,2.39395e-07
0.000146995,2.40578e-07
0.000147334,2.41767e-07
0.000147673,2.42963e-07
0.000148014,2.44163e-07
0.000148355,2.4537e-07
0.000148697,2.46583e-07
0.00014904,2.47802e-07
0.000149384,2.49027e-07
0.000149728,2.50258e-07
0.000150073,2.51495e-07
0.000150419,2.52738e-07
0.000150766,2.53988e-07
0.000151114,2.55243e-07
0.000151462,2.56505e-07
0.000151811,2.57773e-07
0.000152161,2.59047e-07
0.000152512,2.60328e-07
0.000152864,2.61615e-07
0.000153216,2.62908e-07
0.00015357,2.64208e-07
0.000153924,2.65514e-07
0.000154279,2.66827e-07
0.000154634,2.68146e-07
0.000154991,2.69471e-07
0.000155348,2.70804e-07
