r2,N_GBW
4.74602,0.330986
4.75474,0.331473
4.76347,0.331959
4.7722,0.332446
4.78095,0.332933
4.7897,0.33342
4.79846,0.333907
4.80723,0.334394
4.816,0.334881
4.82478,0.335369
4.83358,0.335856
4.84238,0.336343
4.85118,0.336831
4.86,0.337318
4.86882,0.337806
4.87766,0.338293
4.8865,0.338781
4.89534,0.339268
4.9042,0.339756
4.91306,0.340244
4.92194,0.340732
4.93082,0.34122
4.9397,0.341707
4.9486,0.342195
4.9575,0.342683
4.96642,0.343171
4.97534,0.343659
4.98426,0.344148
4.9932,0.344636
5.00214,0.345124
5.0111,0.345612
5.02006,0.346101
5.02902,0.346589
5.038,0.347077
5.04698,0.347566
5.05598,0.348054
5.06498,0.348543
5.07398,0.349031
5.083,0.34952
5.09202,0.350008
5.10106,0.350497
5.1101,0.350986
5.11914,0.351474
5.1282,0.351963
5.13726,0.352452
5.14634,0.35294
5.15542,0.353429
5.1645,0.353918
5.1736,0.354407
5.1827,0.354896
5.19182,0.355385
5.20094,0.355874
5.21006,0.356363
5.2192,0.356852
5.22834,0.357341
5.2375,0.35783
5.24666,0.358319
5.25582,0.358808
5.265,0.359297
5.27418,0.359786
5.28338,0.360275
5.29258,0.360765
5.30178,0.361254
5.311,0.361743
5.32022,0.362232
5.32946,0.362721
5.3387,0.363211
5.34795,0.3637
5.3572,0.364189
5.36647,0.364679
5.37574,0.365168
5.38502,0.365657
5.39431,0.366147
5.4036,0.366636
5.41291,0.367125
5.42222,0.367615
5.43154,0.368104
5.44087,0.368593
5.4502,0.369083
5.45955,0.369572
5.4689,0.370062
5.47826,0.370551
5.48763,0.37104
5.497,0.37153
5.50639,0.372019
5.51578,0.372509
5.52518,0.372998
5.53459,0.373487
5.544,0.373977
5.55343,0.374466
5.56286,0.374956
5.5723,0.375445
5.58175,0.375935
5.5912,0.376424
5.60067,0.376913
5.61014,0.377403
5.61962,0.377892
5.62911,0.378382
5.63861,0.378871
5.64811,0.37936
5.65762,0.37985
5.66714,0.380339
5.67667,0.380828
5.68621,0.381318
5.69575,0.381807
5.7053,0.382296
5.71486,0.382786
5.72443,0.383275
5.73401,0.383764
5.74359,0.384253
5.75318,0.384743
5.76278,0.385232
5.77239,0.385721
5.78201,0.38621
5.79163,0.386699
5.80127,0.387188
5.81091,0.387678
5.82055,0.388167
5.83021,0.388656
5.83987,0.389145
5.84955,0.389634
5.85923,0.390123
5.86892,0.390612
5.87861,0.391101
5.88832,0.39159
5.89803,0.392079
5.90775,0.392567
5.91748,0.393056
5.92721,0.393545
5.93696,0.394034
5.94671,0.394523
5.95647,0.395011
5.96624,0.3955
5.97601,0.395989
5.9858,0.396477
5.99559,0.396966
6.00539,0.397455
6.0152,0.397943
6.02502,0.398432
6.03484,0.39892
6.04467,0.399409
6.05451,0.399897
6.06436,0.400385
6.07422,0.400874
6.08408,0.401362
6.09395,0.40185
6.10384,0.402338
6.11372,0.402827
6.12362,0.403315
6.13352,0.403803
6.14344,0.404291
6.15336,0.404779
6.16329,0.405267
6.17322,0.405755
6.18317,0.406242
6.19312,0.40673
6.20308,0.407218
6.21305,0.407706
6.22302,0.408193
6.23301,0.408681
6.243,0.409169
6.253,0.409656
6.26301,0.410144
6.27303,0.410631
6.28305,0.411118
6.29308,0.411606
