r,N_cgc
98.6266,284.928
101.393,285.751
104.236,286.563
107.159,287.365
110.165,288.155
113.254,288.935
116.43,289.704
119.696,290.461
123.052,291.207
126.503,291.941
130.051,292.664
133.698,293.375
137.448,294.074
141.303,294.76
145.265,295.435
149.339,296.097
153.528,296.746
157.833,297.383
162.26,298.008
166.81,298.619
171.488,299.218
176.298,299.804
181.242,300.377
186.325,300.937
191.55,301.483
196.922,302.017
202.445,302.537
208.122,303.044
213.959,303.538
219.959,304.019
226.128,304.486
232.47,304.94
238.989,305.381
245.692,305.809
252.582,306.223
259.666,306.625
266.948,307.013
274.434,307.389
282.131,307.751
290.043,308.101
298.177,308.438
306.54,308.762
315.136,309.075
323.974,309.374
333.06,309.662
342.401,309.938
352.003,310.202
361.875,310.455
372.024,310.696
382.457,310.926
393.183,311.145
404.21,311.353
415.546,311.551
427.199,311.739
439.18,311.917
451.497,312.085
464.159,312.244
477.176,312.393
490.558,312.534
504.316,312.667
518.459,312.791
532.999,312.907
547.947,313.016
563.314,313.117
579.112,313.211
595.353,313.299
612.05,313.38
629.215,313.455
646.861,313.524
665.002,313.588
683.652,313.647
702.824,313.701
722.535,313.75
742.798,313.795
763.63,313.836
785.046,313.873
807.062,313.906
829.696,313.936
852.964,313.964
876.886,313.988
901.478,314.01
926.759,314.029
952.75,314.047
979.47,314.062
1006.94,314.076
1035.18,314.088
1064.21,314.098
1094.05,314.107
1124.74,314.115
1156.28,314.122
1188.71,314.128
1222.04,314.133
1256.32,314.137
1291.55,314.141
1327.77,314.144
1365.01,314.147
1403.29,314.149
1442.64,314.151
1483.1,314.153
1524.7,314.154
1567.46,314.155
1611.41,314.156
1656.61,314.157
1703.07,314.157
1750.83,314.158
1799.93,314.158
1850.41,314.158
1902.3,314.158
1955.65,314.159
2010.5,314.159
2066.88,314.159
2124.85,314.159
2184.44,314.159
2245.7,314.159
2308.68,314.159
2373.42,314.159
2439.99,314.159
2508.42,314.159
2578.76,314.159
2651.08,314.159
2725.43,314.159
2801.87,314.159
2880.44,314.159
2961.23,314.159
3044.27,314.159
3129.65,314.159
3217.42,314.159
3307.65,314.159
3400.41,314.159
3495.78,314.159
3593.81,314.159
3694.6,314.159
3798.22,314.159
3904.74,314.159
4014.24,314.159
4126.82,314.159
4242.56,314.159
4361.54,314.159
4483.86,314.159
4609.6,314.159
4738.88,314.159
4871.78,314.159
5008.41,314.159
5148.87,314.159
5293.27,314.159
5441.71,314.159
5594.33,314.159
5751.22,314.159
5912.51,314.159
6078.32,314.159
6248.79,314.159
6424.03,314.159
6604.19,314.159
6789.41,314.159
6979.81,314.159
7175.56,314.159
7376.8,314.159
7583.68,314.159
7796.36,314.159
8015.01,314.159
8239.79,314.159
8470.87,314.159
8708.43,314.159
8952.66,314.159
9203.73,314.159
9461.85,314.159
9727.2,314.159
10000,314.159
