r,x,sigma
0.0001189534067,1.61455815e-05,4.17270052e-07
0.0001189534067,1.744258059e-05,4.011557275e-07
0.0001189534067,1.884376959e-05,3.856000912e-07
0.0001189534067,2.035751822e-05,3.705857274e-07
0.0001189534067,2.199286859e-05,3.56095704e-07
0.0001189534067,2.375958913e-05,3.421135697e-07
0.0001189534067,2.566823302e-05,3.286233375e-07
0.0001189534067,2.773020117e-05,3.156094718e-07
0.0001189534067,2.995781035e-05,3.0305688e-07
0.0001189534067,3.236436676e-05,2.909509054e-07
0.0001189534067,3.496424551e-05,2.792773009e-07
0.0001189534067,3.777297646e-05,2.680222353e-07
0.0001189534067,4.080733704e-05,2.571722735e-07
0.0001189534067,4.408545242e-05,2.467143648e-07
0.0001189534067,4.762690378e-05,2.366358394e-07
0.0001189534067,5.145284531e-05,2.269243954e-07
0.0001189534067,5.558613053e-05,2.175680888e-07
0.0001189534067,6.005144884e-05,2.085553198e-07
0.0001189534067,6.487547295e-05,1.998748331e-07
0.0001189534067,7.008701824e-05,1.91515702e-07
0.0001189534067,7.571721488e-05,1.834673236e-07
0.0001189534067,8.179969378e-05,1.757194034e-07
0.0001189534067,8.837078744e-05,1.682619558e-07
0.0001189534067,9.546974703e-05,1.610852935e-07
0.0001189534067,0.0001031389768,1.54180012e-07
0.0001189534067,0.0001114242875,1.475369929e-07
0.0001189534067,0.0001203751698,1.411473919e-07
0.0001189534067,0.0001300450901,1.35002627e-07
0.0001189534067,0.0001404918097,1.290943746e-07
0.0001189534067,0.0001517777302,1.234145685e-07
0.0001189534067,0.0001639702658,1.179553861e-07
0.0001189534067,0.0001771422463,1.127092388e-07
0.0001189534067,0.0001913723521,1.076687768e-07
0.0001189534067,0.0002067455838,1.028268683e-07
0.0001189534067,0.0002233537706,9.817660577e-08
0.0001189534067,0.0002412961183,9.371129311e-08
0.0001189534067,0.0002606798021,8.942444889e-08
0.0001189534067,0.0002816206065,8.530978234e-08
0.0001189534067,0.0003042436177,8.136120227e-08
0.0001189534067,0.0003286839697,7.757281378e-08
0.0001189534067,0.0003550876522,7.393889911e-08
0.0001189534067,0.0003836123827,7.045392781e-08
0.0001189534067,0.0004144285482,6.711254102e-08
0.0001189534067,0.000447720223,6.390954898e-08
0.0001189534067,0.0004836862686,6.083993123e-08
0.0001189534067,0.0005225415214,5.789882168e-08
0.0001189534067,0.0005645180756,5.508151646e-08
0.0001189534067,0.0006098666701,5.23834633e-08
0.0001189534067,0.0006588581862,4.98002484e-08
0.0001189534067,0.0007117852651,4.732761225e-08
0.0001189534067,0.0007689640567,4.496143012e-08
0.0001189534067,0.0008307361075,4.269771109e-08
0.0001189534067,0.000897470401,4.053259053e-08
0.0001189534067,0.0009695655616,3.84623434e-08
0.0001189534067,0.001047452236,3.648335804e-08
0.0001189534067,0.001131595665,3.459214326e-08
0.0001189534067,0.001222498464,3.278533013e-08
0.0001189534067,0.001320703623,3.105965299e-08
0.0001189534067,0.001426797751,2.941196681e-08
0.0001189534067,0.001541414582,2.783922698e-08
0.0001189534067,0.001665238757,2.633849128e-08
0.0001189534067,0.001799009916,2.490691793e-08
0.0001189534067,0.001943527115,2.354176504e-08
0.0001189534067,0.0020996536,2.22403843e-08
0.0001189534067,0.002268321964,2.100021597e-08
0.0001189534067,0.002450539713,1.981878954e-08
0.0001189534067,0.00264739529,1.869372172e-08
0.0001189534067,0.002860064576,1.762271396e-08
0.0001189534067,0.003089817908,1.660354155e-08
0.0001189534067,0.003338027674,1.563407057e-08
0.0001189534067,0.003606176508,1.471222841e-08
0.0001189534067,0.003895866145,1.383602588e-08
0.0001189534067,0.00420882699,1.300354553e-08
0.0001189534067,0.004546928456,1.221293485e-08
0.0001189534067,0.004912190126,1.146240648e-08
0.0001189534067,0.005306793821,1.075024312e-08
0.0001189534067,0.00573309663,1.007478831e-08
0.0001189534067,0.006193644991,9.434449056e-09
0.0001189534067,0.006691189902,8.827687098e-09
0.0001189534067,0.007228703351,8.253026156e-09
0.0001189534067,0.007809396072,7.709042892e-09
0.0001189534067,0.008436736722,7.194368657e-09
0.0001189534067,0.009114472599,6.707687715e-09
0.0001189534067,0.009846652028,6.247734699e-09
0.0001189534067,0.01063764854,5.813293979e-09
0.0001189534067,0.01149218701,5.403199163e-09
0.0001189534067,0.01241537185,5.016326844e-09
0.0001189534067,0.01341271753,4.651600933e-09
0.0001189534067,0.0144901815,4.307983495e-09
0.0001189534067,0.0156541998,3.984493272e-09
