r2,N_IIM
6.60806,0.506286
6.61835,0.506678
6.62864,0.507069
6.63895,0.507461
6.64926,0.507852
6.65958,0.508243
6.66991,0.508634
6.68024,0.509024
6.69059,0.509414
6.70094,0.509804
6.7113,0.510194
6.72167,0.510584
6.73205,0.510973
6.74243,0.511362
6.75282,0.511751
6.76322,0.51214
6.77363,0.512528
6.78405,0.512916
6.79447,0.513304
6.80491,0.513692
6.81535,0.51408
6.8258,0.514467
6.83625,0.514854
6.84672,0.515241
6.85719,0.515628
6.86767,0.516014
6.87816,0.5164
6.88866,0.516786
6.89916,0.517172
6.90967,0.517557
6.92019,0.517943
6.93072,0.518328
6.94126,0.518712
6.9518,0.519097
6.96236,0.519481
6.97292,0.519865
6.98349,0.520249
6.99406,0.520633
7.00465,0.521016
7.01524,0.5214
7.02584,0.521783
7.03645,0.522165
7.04707,0.522548
7.05769,0.52293
7.06832,0.523312
7.07896,0.523694
7.08961,0.524076
7.10027,0.524457
7.11093,0.524838
