r,N_gbw
0.118871,0.0397775
0.122204,0.0408698
0.125632,0.0419914
0.129155,0.0431431
0.132777,0.0443257
0.136501,0.0455398
0.140329,0.0467864
0.144264,0.0480663
0.14831,0.0493802
0.15247,0.0507291
0.156746,0.0521138
0.161141,0.0535352
0.165661,0.0549943
0.170307,0.0564919
0.175083,0.058029
0.179993,0.0596066
0.185041,0.0612256
0.19023,0.0628872
0.195565,0.0645922
0.20105,0.0663418
0.206688,0.0681371
0.212485,0.069979
0.218444,0.0718688
0.22457,0.0738076
0.230868,0.0757965
0.237342,0.0778366
0.243999,0.0799293
0.250842,0.0820757
0.257876,0.084277
0.265108,0.0865345
0.272543,0.0888494
0.280187,0.0912231
0.288044,0.0936569
0.296123,0.0961521
0.304427,0.0987101
0.312965,0.101332
0.321742,0.10402
0.330765,0.106774
0.340041,0.109597
0.349578,0.11249
0.359381,0.115454
0.36946,0.118491
0.379822,0.121602
0.390474,0.124788
0.401424,0.128052
0.412682,0.131395
0.424256,0.134818
0.436154,0.138322
0.448386,0.14191
0.46096,0.145583
0.473888,0.149343
0.487178,0.153191
0.500841,0.157128
0.514887,0.161156
0.529327,0.165277
0.544171,0.169493
0.559433,0.173804
0.575122,0.178213
0.591251,0.18272
0.607832,0.187328
0.624879,0.192038
0.642403,0.196851
0.660419,0.20177
0.678941,0.206794
0.697981,0.211926
0.717556,0.217167
0.73768,0.222519
0.758368,0.227982
0.779636,0.233558
0.801501,0.239248
0.823979,0.245053
0.847087,0.250974
0.870843,0.257013
0.895266,0.26317
0.920373,0.269445
0.946185,0.275841
0.97272,0.282357
1,0.288994
1.02804,0.295752
1.05688,0.302633
1.08652,0.309636
1.11699,0.316761
1.14831,0.324008
1.18052,0.331378
1.21362,0.33887
1.24766,0.346484
1.28265,0.354219
1.31862,0.362075
1.3556,0.37005
1.39362,0.378143
1.4327,0.386355
1.47288,0.394682
1.51419,0.403124
1.55665,0.411678
1.60031,0.420343
1.64519,0.429116
1.69133,0.437996
1.73876,0.446979
1.78753,0.456062
1.83766,0.465243
1.88919,0.474518
1.94217,0.483883
1.99664,0.493334
2.05264,0.502868
2.1102,0.51248
2.16938,0.522165
2.23022,0.531918
2.29277,0.541734
2.35707,0.551608
2.42317,0.561534
2.49113,0.571506
2.56099,0.581518
2.63282,0.591562
2.70665,0.601633
2.78256,0.611724
2.8606,0.621826
2.94082,0.631933
3.02329,0.642037
3.10808,0.65213
3.19525,0.662204
3.28486,0.67225
3.37698,0.68226
3.47169,0.692226
3.56905,0.702139
3.66914,0.71199
3.77204,0.721769
3.87783,0.731469
3.98658,0.74108
4.09838,0.750592
4.21332,0.759998
4.33148,0.769287
4.45296,0.778452
4.57784,0.787483
4.70622,0.796372
4.83821,0.805111
4.9739,0.81369
5.11339,0.822103
5.25679,0.830341
5.40422,0.838397
5.55578,0.846264
5.71159,0.853936
5.87177,0.861406
6.03644,0.868668
6.20573,0.875718
6.37977,0.88255
6.55869,0.88916
6.74262,0.895544
6.93172,0.9017
7.12612,0.907625
7.32597,0.913318
7.53142,0.918776
7.74264,0.923999
7.95978,0.928988
8.18301,0.933742
8.4125,0.938264
8.64842,0.942556
8.89097,0.94662
9.14031,0.950459
9.39665,0.954077
9.66017,0.957478
9.93109,0.960668
10.2096,0.963653
10.4959,0.966437
10.7903,0.969027
11.0929,0.97143
11.404,0.973653
11.7238,0.975704
12.0526,0.97759
12.3906,0.979319
12.7381,0.980899
13.0954,0.982338
13.4626,0.983644
13.8402,0.984825
14.2283,0.98589
14.6273,0.986846
15.0376,0.987702
15.4593,0.988464
15.8928,0.98914
16.3385,0.989738
16.7967,0.990265
17.2678,0.990726
17.7521,0.991128
18.2499,0.991477
18.7617,0.991779
19.2879,0.992039
19.8288,0.992261
20.3849,0.992451
20.9566,0.992611
21.5443,0.992746
22.1486,0.992859
22.7697,0.992953
23.4083,0.993031
24.0648,0.993095
24.7396,0.993148
25.4335,0.993191
26.1467,0.993225
26.88,0.993253
27.6339,0.993275
28.4088,0.993292
29.2056,0.993306
30.0246,0.993316
30.8666,0.993325
31.7323,0.993331
32.6222,0.993336
33.5371,0.993339
34.4776,0.993342
35.4446,0.993344
36.4386,0.993345
37.4605,0.993346
38.5111,0.993347
39.5911,0.993348
40.7014,0.993348
41.8429,0.993348
43.0164,0.993349
44.2227,0.993349
45.463,0.993349
46.738,0.993349
48.0487,0.993349
49.3962,0.993349
50.7815,0.993349
52.2057,0.993349
53.6698,0.993349
55.1749,0.993349
56.7223,0.993349
58.3131,0.993349
59.9484,0.993349
61.6297,0.993349
63.358,0.993349
65.1349,0.993349
66.9616,0.993349
68.8395,0.993349
70.7701,0.993349
72.7548,0.993349
74.7952,0.993349
76.8928,0.993349
79.0493,0.993349
81.2662,0.993349
83.5453,0.993349
85.8883,0.993349
88.297,0.993349
90.7733,0.993349
93.319,0.993349
95.9361,0.993349
98.6266,0.993349
101.393,0.993349
104.236,0.993349
107.159,0.993349
110.165,0.993349
113.254,0.993349
116.43,0.993349
119.696,0.993349
123.052,0.993349
126.503,0.993349
130.051,0.993349
133.698,0.993349
137.448,0.993349
141.303,0.993349
145.265,0.993349
149.339,0.993349
153.528,0.993349
157.833,0.993349
162.26,0.993349
166.81,0.993349
171.488,0.993349
176.298,0.993349
181.242,0.993349
186.325,0.993349
191.55,0.993349
196.922,0.993349
202.445,0.993349
208.122,0.993349
213.959,0.993349
219.959,0.993349
226.128,0.993349
232.47,0.993349
238.989,0.993349
245.692,0.993349
252.582,0.993349
259.666,0.993349
266.948,0.993349
274.434,0.993349
282.131,0.993349
290.043,0.993349
298.177,0.993349
306.54,0.993349
315.136,0.993349
323.974,0.993349
333.06,0.993349
342.401,0.993349
352.003,0.993349
361.875,0.993349
372.024,0.993349
382.457,0.993349
393.183,0.993349
