r,N_gbw
4483.86,12.5664
4609.6,12.5664
4738.88,12.5664
4871.78,12.5664
5008.41,12.5664
5148.87,12.5664
5293.27,12.5664
5441.71,12.5664
5594.33,12.5664
5751.22,12.5664
5912.51,12.5664
6078.32,12.5664
6248.79,12.5664
6424.03,12.5664
6604.19,12.5664
6789.41,12.5664
6979.81,12.5664
7175.56,12.5664
7376.8,12.5664
7583.68,12.5664
7796.36,12.5664
8015.01,12.5664
8239.79,12.5664
8470.87,12.5664
8708.43,12.5664
8952.66,12.5664
9203.73,12.5664
9461.85,12.5664
9727.2,12.5664
10000,12.5664
